"text","createdAt","retweetCount","viewCount"
"A Petrobras divulgou que recebeu R$439 milhões, só no último trimestre, em acordos de leniência da Lava-Jato. Ao todo, foram R$6,7 BILHÕES recuperados dessa forma. 

O chefe da quadrilha que assaltou a estatal estará de volta ano que vem. 🤡 https://t.co/tugUB0A76i","Wed Nov 02 14:01:46 +0000 2022","3514",
"E aí, vcs lembram do ex governador bahiano que comprou 300 respiradores, que nunca foram entregues de uma ""empresa"" de maconha? Pois é,esse gênio da negociata ,será o novo presidente da Petrobras. A ousadia da quadrilha é insuperável. https://t.co/W1DCzWfros","Mon Dec 04 13:31:15 +0000 2023","691","12823"
"É verdade, o PT provou ser possível lucrar com a Petrobras. Os corruptos todos ligados ao petrolão que o digam... https://t.co/Ub7KL9E993","Fri Jun 17 19:56:52 +0000 2022","2007",
"🚨BRASIL: Petrobras deve anunciar na semana que vem redução de até R$ 0,30 no preço da gasolina (queda de cerca de 10%); Redução de até R$ 0,10 no preço do diesel (queda de cerca de 4%) e redução de até R$ 15 no preço do botijão de gás. https://t.co/xnPVK5jIq0","Wed May 10 22:02:42 +0000 2023","2192","2067237"
"- Diretor Rafael Chaves e a bilionária corrupção na Petrobrás.
- Pólo GASLUB.
- Itaboraí /RJ, 31 Jan 22. https://t.co/9lTByPFHWb","Mon Jan 31 22:51:07 +0000 2022","7102",
"#BBAS3
Assim como foi com Bradesco, minha tese com BB é de ser do contra. Vir aqui falar bem do que ta subindo e do que todo mundo gosta é facil, mas vim trazer um contraponto pra fomentar a discussão e falar do que ninguem gosta de lembrar.

O ROE do BB chegou no maior nível da década, com um salto forte em 2022 em função de diversos fatores, mas vou dar um foco maior pro agro, que foi bastante impulsionado pelo aumento nos preços dos graos. Com a queda nesses preços, talvez o ROE dê uma penada, caso tenhamos problemas no pagamento dos funcionários públicos, talvez o negócio pode ser ainda pior.

Quando olhamos pra carteira de crédito, o spread ajustado pelo risco também está reduzindo, ou seja, para manter o spread nominal, estão tomando bastante risco.

Isso reflete diretamente na inadimplência, que apesar de ser menor do que os concorrentes, está aumentando em um ritmo relativamente alto pro histórico do banco.

Por fim, a cobertura do banco está reduzindo, o que torna ele mais exposto a uma eventual PDD.

Resumindo: acho que o ROE tenha feito topo, o banco ta tomando muito mais risco pra sustentar o nivel atual, refletindo na inadimplencia crescente e suas ""defesas"" como o índice de cobertura e o Basileia estão reduzindo.","Sun Sep 10 15:43:37 +0000 2023","7","66881"
"#BBAS3 #BBDC4 
Sempre o Bradescao ta la no topo nessas furadas, pqp kkkkkk
Pelo menos sao só 9,6 mi. https://t.co/UrkbCCZZez","Wed Aug 30 19:30:31 +0000 2023","8","102224"
"BBAS3 com P/L 3,87 para esse ano no ponto médio do guidance! https://t.co/s0KwgeLGnr","Mon Feb 14 21:43:11 +0000 2022","17",
"BBAS3: Existem balanços e existe isso aqui. Impressionante! https://t.co/ZKpXPUGht5","Wed Nov 09 22:27:39 +0000 2022","21",
"BBAS3 - A imagem dispensa comentários: https://t.co/NI41t50qnM","Wed May 11 21:42:41 +0000 2022","3",
"Banco do Brasil (BBAS3) vai splitar 2/1.

Ou seja, se você hoje tem 100 ações a R$ 54. Passará a ter 200 a R$ 27.

Na prática estão dividindo a pizza em mais pedaços. Então não se assuste. https://t.co/YW2dlmv9hr","Fri Dec 08 12:02:49 +0000 2023","12","58874"
"#BBAS3
Não sou muito fã do banco no ciclo atual, mas esse dado é interessante e mostra o tanto que o BB tava amassado.

Colocando o preço atual do Banco do Brasil (R$ 54,61) no modelo, ele precisaria entregar 14,0% de ROE para se justificar, algo tranquilo dado o histórico, mas que ainda pode dar uma insegurança.

Agora vem o dado ""bizarro"": o banco entre 2020 e 2022 ficou rodando entre 25/30 reais. Pra valer isso o ROE deveria ser 7,0% pra sempre.

Ou seja, o mercado passou quase 3 anos precificando que o ROE do BB ia ficar abaixo do pior ano da empresa (pra sempre).

É esse tipo de assimetria que busco usando o valuation ""reverso"". Não levo meses modelando cada linha pra saber se virá 10%, 15% ou 20% de ROE. Se viesse mais do que 7% já servia pra mim.

Mesmo assim, o investidor precisou segurar o papel por TRÊS ANOS até ver algum retorno, dando ainda mais importância pro post que fiz sobre alavancagem e paciência.","Sun Dec 17 12:34:54 +0000 2023","8","46914"
"BBAS3: resultado forte. https://t.co/FEAmQMwZUd","Wed May 11 22:21:13 +0000 2022","4",
"BBAS3 com resultado espetacular, superando Itaú e Bradesco no trimestre! https://t.co/SSf5XTvYJo","Wed Aug 10 21:56:49 +0000 2022","13",
"Estamos no caminho certo 🤡🤡🤡
#ibov #PETR4 #bbas3 https://t.co/njpYg2eLPU","Wed Dec 14 17:01:52 +0000 2022","120",
"BBAS3: na máxima de 12 meses. https://t.co/V3Yg6Sf6kv","Fri May 20 15:27:33 +0000 2022","2",
"Rapaziada de BBAS3 de olho ae. https://t.co/tQAMJJdcqX","Thu Aug 18 20:15:31 +0000 2022","39",
"Triste dia para quem não tem Banco do Brasil #BBAS3 na carteira. Foi, de longe, um dos melhores resultados do setor financeiro que vi até o momento!

O crescimento da carteira, sobretudo da Agro, já havia sido adiantado nas nossas lives de prévias de resultados do 4T21. https://t.co/OnCOhaRKr9","Mon Feb 14 22:57:57 +0000 2022","7",
"Se o lucro do Banco do Brasil #BBAS3 não crescer pelos próximos 05 anos, ainda assim você pode ganhar ~15% ao ano.

Interessante. https://t.co/9eLSfNuIUf","Fri Jan 07 02:56:36 +0000 2022","10",
"#BBAS3
Começou.... https://t.co/q9npj4Of6S","Mon Jan 23 20:10:00 +0000 2023","7","12119"
"Se você tivesse investido em BBAS3 ao invés de NUBR11, no dia do ipo do Nubank, hoje você teria 2-3x mais patrimônio.

Mas Banco do Brasil não é sexy. 

Então temos uma lição: investimentos não tem que ser sexy. Não tem que ser novidade. 

Ganhar dinheiro ≠ novidade https://t.co/houmyEc6Gw","Sun Jun 05 12:01:25 +0000 2022","18",
"Sextou para o acionista de BBAS3. https://t.co/XRaAWV2vZD","Fri May 26 20:14:33 +0000 2023","6","19902"
"Bom dia para você acionista de BBAS3. https://t.co/vdJz95iU95","Fri May 27 12:36:01 +0000 2022","13",
"BBAS3 - Comparação com 1T21

Lucro líquido +34%
Receitas operacionais +11,9%
Despesas totais +0,1%
Receitas de prestação de serviços +9,4%
Basiléia 17,69% https://t.co/Z8nCD1SU3L","Thu May 12 00:51:25 +0000 2022","2",
"Banco do Brasil 🚀🚀🚀🚀 #bbas3 https://t.co/Bg9mIUfvSl","Mon Oct 03 13:41:33 +0000 2022","13",
"-Culpados pela DESGRAÇA que é o @Atletico 
Lula
Kalil
Dilma
PBH
Coudet
Mercurio Retrogrado
Covid
Vale SA
Nintendo
Albert Einstein 

-Inocentes
Amansados
4R's
Rainha da inglaterra","Sat Jul 08 23:20:39 +0000 2023","74","11490"
"@conexaopolitica Cena histórica! Parabéns patriotas","Sun Jan 08 18:14:23 +0000 2023","4","34510"
"Sim...lula criticava a ação de Lech Valesa, mas copiava o que lhe convinha. O que fascinava artistas, jornalistas, intelectuais, na época, era o conceito utópico de 'igualdade social',  embora nenhum deles, em sua maioria, tivesse contato algum com povo de verdade. Muitos dessa velha guarda continuam por aí, enchendo o saco, inventando notícia e fumando a mesma maconha estragada.","Tue Sep 19 17:40:32 +0000 2023","9","1068"
"@marcoangeli Bem, era o sindicalista arruaceiro da grreve do ABC... PT na época ainda era o partido dos “acadêmicos” &amp; intelectuais das universidades... abrigaram Lula pq era o Lech Valesa tupiniquim...","Tue Sep 19 17:32:32 +0000 2023","2","907"
"Ontem a casa da minha vizinha pegou fogo, em Acari e ela perdeu tudo. É um casal e eles tem um filho pequeno, quem puder ajudar com qualquer coisa, seja roupa ou dinheiro, qualquer ajuda será bem vinda 🙏🏻

Pix: 21994414349
Adriana Francisco
Banco Itaú

COMPARTILHEM 🙏🏻 https://t.co/sTwsVu6zyW","Sat Nov 18 15:35:19 +0000 2023","384","77856"
"caralho esse comercial do itau, que fodaaaaa https://t.co/loiwdhStBV","Fri Dec 08 00:30:35 +0000 2023","30","16494"
"Qual vai quebrar primeiro, Bradesco ou Itaú? Façam suas apostas. Itaú (Black Rock em tupi Guarani) já está sendo investigado por lavagem de dinheiro no Paraguai enquanto que o Bradesco já deixou várias contas com saldo negativo indevidamente. https://t.co/iSWucklxFa","Fri Dec 08 02:22:10 +0000 2023","191","15402"
"Fala tropa, pra quem não sabe o Claudinho é o membro que faz a manutenção, faz a segurança e também cuida dos nossos objetos pessoais quando nao podemos levar no Maracanã, como ato de gratidão está rolando esse presente de natal pra ele deixarei o pix abaixo:
018.475.347-32 
Itaú https://t.co/kfN4JWJgta","Thu Dec 14 22:00:56 +0000 2023","160","45647"
"O Itaú vai fazer 100 anos, em comemoração decidiram pensar em uma nova marca.

22 meses de trabalho, 70 estudos diferentes, 100 tipografias, centenas de milhões de reais e o resultado foi esse… https://t.co/E8HinaamdH","Thu Dec 07 14:19:48 +0000 2023","108","692795"
"Itaú mudou a marca.
O projeto levou 22 meses entre pesquisa e desenvolvimento pra ser feito e provavelmente custou milhões de reais.

Você curtiu? https://t.co/WPhtIdzcbi","Thu Dec 07 10:12:32 +0000 2023","102","1094139"
"demi lovato no rock in rio 2024 só se o jutes puder se apresentar no palco itaú https://t.co/DRs3BkGo1I","Tue Nov 14 00:33:17 +0000 2023","46","22543"
"Ou você gostou da logo nova do Itaú ou você tá errado. Só tem duas opções. https://t.co/wlcNgQZY2e","Thu Dec 07 16:10:36 +0000 2023","48","104325"
"Itaú fazendo 100 anos em 2024, Madonna celebrando os 40 anos de carreira nos 40 anos de Rock in Rio 

A FIC TÁ PRONTA PODE ENTRAR https://t.co/IL6ziH2p8Y","Wed Dec 06 23:46:05 +0000 2023","98","27058"
"Vazaram o comercial do Itaú gente https://t.co/stWJBggQWv","Thu Dec 07 13:43:26 +0000 2023","16","12365"
"Mais de 70 estudos e 22 meses de trabalho para mudar a logo do Itaú…

Quanto você acha que o Itaú gastou neste complexo trabalho de rebranding?🤔 https://t.co/CMfLmC6bUs","Thu Dec 07 13:58:03 +0000 2023","14","82725"
"entre tantos entendedores, o melhor comentário sobre o rebranding do itau https://t.co/Ck1AueJQNy","Fri Dec 08 16:30:14 +0000 2023","797","230275"
"RUMOR: Madonna teria embolsado 60 MILHÕES de reais para estrelar campanha do Itaú! https://t.co/cI2vtiHewc","Thu Dec 07 17:35:05 +0000 2023","49","50671"
"Está circulando na internet alguns rumores que estão deixando a fanbase em polvorosa. Vazaram algumas imagens que supostamente fazem parte de uma campanha do banco Itaú estrelando Madonna que foram registradas em um evento fechado da empresa. https://t.co/DhmJ0mdC6E","Thu Dec 07 02:22:42 +0000 2023","44","22380"
"Ô Lula, teus amigos querem quebrar o Banco do Brasil? Qual o plano? Criminalizar o Banco pra vendê-lo a preço de banana pro Itaú ou pro BTG?

Todo dia uma vassalagem diferente... https://t.co/qCV5DbsXCn","Tue Dec 05 00:44:33 +0000 2023","824","63077"
"🚨 Aparição de Madonna em nova campanha publicitária do Itaú aumenta rumores de que a rainha do pop venha para o Rock in Rio.

O banco é patrocinador oficial do festival! https://t.co/dWmmgcg9Ot","Wed Dec 06 23:53:04 +0000 2023","117","205141"
"A mais nova cliente do @itau https://t.co/ira5yWxSs6","Fri Dec 08 13:57:56 +0000 2023","88","21454"
"“O melhor ataque era esse do Itaú… Do Ituano, desculpem, é que tenho conta no Itaú” 

Hahahahahaa  https://t.co/WOjDzWhycI","Thu Mar 24 04:04:13 +0000 2022","3026",
"R$ 13 milhões em rebranding para transformar o Itaú em Fanta… https://t.co/boJFWwLIpz","Sat Dec 09 07:10:16 +0000 2023","177","32130"
"Todo mundo já sabe que a SCS determinou que o Banco do Brasil cancele o patrocínio e a participação da Agrishow

Mas porque isso? Só porque o Ministro foi ""desconvidado""?

Não! 

A atitude tem que servir de EXEMPLO para as demais feiras do Br que são patrocinadas pelo governo. Convidou certos VAGABUNDOS, não tem patrocínio!

Parabéns à SCS
Parabéns ao @LulaOficial","Sat Apr 29 20:08:30 +0000 2023","1317","339178"
"Banco do Brasil (BBAS3) vai splitar 2/1.

Ou seja, se você hoje tem 100 ações a R$ 54. Passará a ter 200 a R$ 27.

Na prática estão dividindo a pizza em mais pedaços. Então não se assuste. https://t.co/YW2dlmv9hr","Fri Dec 08 12:02:49 +0000 2023","12","58874"
"INFORMAÇÕES IMPORTANTES SOBRE O CONCURSO DO BANCO DO BRASIL 2023 https://t.co/Y3tZQEZtsa","Wed Feb 15 14:36:07 +0000 2023","1890","1993084"
"O maior assalto a banco do Brasil- Em 2011, alegadamente com ajuda de um vigilante e outros funcionários do banco, cerca de 12 homens roubaram 170 cofres de uma agência na Avenida Paulista em 27 e 28 de agosto.

Os valores roubados estão entre 250 - 500 milhões de reais. Os criminosos passaram cerca de 10 horas dentro da agência roubando os cofres que continham dinheiro, jóias e outros objetos de valores como relógios de luxo, canetas, cordões, anéis, brincos e pulseira de ouro e outros itens de diamante.

Em uma reportagem, foi revelado que em apenas 2 cofres, os valores ultrapassava os 12 milhões de reais. Em um deles, havia um estojo de prata e marfim cravejado de rubi que era do século 18. e dentro tinha 33 diamantes.

A polícia só descobriram o roubo 8 dias depois pois a maioria dos itens não era declarado no Imposto de Renda. De início, 13 homens suspeitos foram presos, mas apenas 5 foram condenados a 18 anos e 8 meses de cadeia. Fato curioso é que dos 5 condenados, apenas 1 está preso e em regime semiaberto. O vigia envolvido passou menos de 7 anos na prisão, e faleceu em 2018 poe causas naturais.

Um detalhe: Há relatos que o roubo ultrapassou os 900 milhões, já que só foi contabilizado os itens que os donos declaravam o Impostos.","Tue Oct 31 00:24:36 +0000 2023","40","143916"
"NÃO CREIO, mas seria a GLÓRIA 🙏

Paulo Guedes pode ser PRESO por acusação do Banco do Brasil

A nova presidente, Tarciana Medeiros  fez levantamento de informações do banco que desvendou um possível ato de CORRUPÇÃO por parte de Paulo Guedes, realizado em 2020, enquanto era Ministro de bolsonaro

Segundo os dados do Banco do Brasil, Paulo Guedes teria VENDIDO crédito de recebíveis de R$ 3 bilhões da carteira do BB para um banco privado DIRIGIDO POR ELE MESMO, o BTG. 
Além disso, a soma RECEBIDA pela instituição com a venda foi de apenas R$ 300 milhões, o que geraria um PREJUÍZO de R$ 2,7 bilhões para o Banco do Brasil

Membros ligados ao sindicato da categoria reforçam que a ação NÃO PASSARÁ EM BRANCO, visto que se trata de uma corrupção grave no contexto financeiro

SE os atos forem confirmados, Paulo Guedes poderá, inclusive, ir para a prisão

Representante do mais puro suco de esgoto bolsonarista, o tal ""posto Ipiranga"" debochou dos brasileiros e manteve um postura elitista asquerosa durante todo o governo","Mon May 22 14:02:08 +0000 2023","2491","508128"
"BANCO DO BRASIL: COMO SOLICITAR CONTA CORRENTE GRATUITA + REEMBOLSO PELO APLICATIVO 
Segue o fio 🧵 https://t.co/3EIWjqryNA","Thu Jun 22 13:48:30 +0000 2023","2656","3294648"
"As letras da Lupe de Lupe são tipo:

Gustavo Scholz: Eu tenho uma filha

Jonathan Tadeu: dei um calote no banco do Brasil, e gosto de Charlie XCX

Renan Benini: aí que saudades da 
minha ex 

Vitor brauer: https://t.co/P9llg6mhP6","Thu Dec 28 21:46:55 +0000 2023","397","81629"
"Ô Lula, teus amigos querem quebrar o Banco do Brasil? Qual o plano? Criminalizar o Banco pra vendê-lo a preço de banana pro Itaú ou pro BTG?

Todo dia uma vassalagem diferente... https://t.co/qCV5DbsXCn","Tue Dec 05 00:44:33 +0000 2023","835","63077"
"JUST A REMINDER...
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
BIU WILL BE IN BRAZIL 🇧🇷
#Beyourluve #BuildJakapan #JinJiancheng","Mon Nov 13 13:46:39 +0000 2023","24","1053"
"Fazuelli que passa 🤡💩🫠

Banco do Brasil suspende empréstimo consignado para servidores do estado do RN

O estado do RN mais uma vez não pagou os empréstimos consignados ao Banco do Brasil. Desconta do servidor e não repassa ao banco, faz apropriação indébita. Mesmo com a promessa do secretário Carlos Eduardo Xavier (Cadu) em não atrasar, a governadora Fátima Bezerra manda não pagar ao banco e gastar com outras coisas. A atitude prejudica os servidores.

Matéria: https://t.co/74DTZHYEgD","Wed Aug 23 16:55:57 +0000 2023","2019","154128"
"Lula nomeou a primeira mulher como presidente do Banco do Brasil. Agora, ela foi considerada uma das 100 mulheres mais poderosas do mundo. Ninguém fez mais pelas mulheres do que o Lula. https://t.co/jY9wtWGzxv","Thu Dec 07 10:33:34 +0000 2023","516","36618"
"Anderson Dorneles, ex braço direito da Dilma, contraiu empréstimo de 149 mil reais no Banco do Brasil. Não pagou e a dívida foi a mais de 200 paus. Agora, num passe de mágica, fez acordo para pagar 15 conto em 10 parcelas. Banco do Brasil muito bonzinho. https://t.co/OLsB6jcjyo","Fri Dec 01 11:42:26 +0000 2023","195","4111"
"vou pedir dinheiro pra minha avó e falar que eh pro concurso do Banco do Brasil  https://t.co/CDybKkoEhV","Sat Oct 28 15:23:26 +0000 2023","102","82587"
"Hey @bastille 👋

You saw some brazilians on Bad Blood X tour in europe, right? 🇧🇷

We miss you a lot and we'd love if you'd announce an extra BBX concert in Rio or São Paulo! We were the last concert of Bad Blood Tour back in the day, it would only be right to end BBX here... 👀 https://t.co/HbVW8wQ7Cz","Sun Jul 23 19:27:39 +0000 2023","19","3966"
"✊🏾 ATO HISTÓRICO NO BB

Tarciana Medeiros, primeira mulher a presidir o Banco do Brasil, fez um pedido de desculpas ao povo negro pelo envolvimento histórico da instituição com a escravidão. A declaração, resposta a um inquérito do MPF, vem acompanhada de ações de reparação, como o fomento ao mercado de trabalho para negros e programas de inclusão e diversidade. Medeiros ressalta o compromisso do BB com a igualdade racial e justiça social, iniciativas que refletem um passo importante na luta contra o racismo estrutural no Brasil.","Mon Nov 20 23:27:56 +0000 2023","63","16863"
"Guys Byl, I need to sleep. It's after 3 am in Brazil. Please be safe and just have fun. 💙💙💙

Don't fall into traps

BUILD XMAS IN JAPAN 
#BuildJinglesinJapan
@JakeB4rever
#Beyourluve 
#BuildJakapan https://t.co/mtMd189Ngy","Sun Dec 17 06:28:44 +0000 2023","13","377"
"Comicamente, a Piauí é do dono do maior banco do Brasil https://t.co/smTpzOwpT2","Thu Oct 12 10:10:20 +0000 2023","146","71052"
"Marcha, Brasilia!  🚀
Pré-venda exclusiva para clientes Banco do Brasil, a partir de amanhã, 10/10, às 20h https://t.co/amrPrBpDrF","Tue Oct 10 02:50:42 +0000 2023","189","1387776"
"brazillian seonghwa when he's wearing his brazillian shirt doing his brazillian speech about how he loves brazil and brazillian atinys and wants to move to brazil and stay in brazil during his brazillian concert in br #ATEEZ #ATEEZinBrazil #Break_The_Wall_SP #BREAK_THE_WALL_LATAM https://t.co/sv7V731wWg","Sat Aug 26 23:53:27 +0000 2023","21","1948"
"CHINA/VALE3/MINÉRIO DE FERRO

ALGUNS DESTAQUES PARA A SEMANA.

1 - Efeito do Scrap do Minério
2 - Tendência de estoque
3 - Dados da semana
4 - Governo tentando sair do ""isolamento""
5 - Beijing incomodada com Dalian
6 - Até quando vai o rally? https://t.co/20XHJnvvv5","Mon Nov 13 01:19:12 +0000 2023","10","22191"
"CHINA REPORT #10

TUDO QUE VOCÊ PRECISA SABER DO MERCADO CHINÊS ATÉ O FINAL DO ANO! 

-VALE3
-MINÉRIO DE FERRO
-MERCADO IMOBILIÁRIO
-PERSPECTIVAS

ACOMPANHE ATÉ O FINAL! https://t.co/l8LFHyPXTK","Sun Oct 01 23:25:58 +0000 2023","38","93784"
"VALE3/CHINA/MINÉRIO DE FERRO

Você sabe por que o julgamento da Evergrande 'micou'? Lobby. 
Apesar do julgamento ser em Hong Kong, teoricamente um país à parte, a influência de Pequim é gigante. A empresa não tem salvação, mas uma liquidação traria pressões que Pequim não deseja, principalmente agora. Seria um problema maior em um setor que já sofre há tempos.","Wed Dec 06 00:04:38 +0000 2023","6","4502"
"CHINA/VALE3/MINÉRIO DE FERRO

DADOS PÉSSIMOS DO IMOBILIÁRIO CHINÊS, QUANTO ISSO AFETA O MINÉRIO NO CURTO PRAZO(MESES)? 

POUCO, MUITO POUCO, QUASE NADA!

Acompanhem as imagens abaixo: dados do imobiliário e fluxo de infraestrutura

- Imobiliário privado NÃO É MAIS o maior consumidor de aço.
- Ninguém espera melhora do imob, nem Beijing
- Acho o patamar atual do minério caro, principalmente no risco de upside
- Acompanhar apenas dados do imobiliário é operar olhando retrovisor
- Infra compensou a queda do imobiliário
- O preço até jan/fev segue o fluxo de estoques e expectativas das fábricas para o ano novo chinês","Mon Nov 20 00:21:06 +0000 2023","5","10448"
"o pior de tudo é que eles fazem isso na cara dura e muita pessoa física acaba se dando mal #vale3 https://t.co/lIDLXSlD0t","Wed Feb 01 13:55:26 +0000 2023","39","93897"
"VALE3/CHINA/MINÉRIO DE FERRO
1/3

Três gráficos muito bons: estoques de minério, estoques de aço e exportações.

A sazonalidade é interessante no estoque de minério. Reparem na tendência para os próximos meses, vai ao encontro do próximo gráfico. https://t.co/3V6tUG2mdB","Fri Nov 17 00:06:19 +0000 2023","3","14641"
"#VALE3
Nossa Valesca anunciou um provento de R$ 2,33 por ação, ou um DY de 3,5%.

Além disso, anunciaram um programa de recompra de 150 milhões de ações, ou seja, 3,5% do free float.

Já que voces nao puxam o papel, a empresa vai fazer o favor de raspar no fundo. https://t.co/z3pVHWknBW","Thu Oct 26 19:16:56 +0000 2023","12","14335"
"Fui abrir a carteira do NDIV11, o novo ETF de dividendos que vai ter por aqui. 

Eu como um bom inocente abri achando que ia ser só elétrica, banco, saneamento, etc.

Mas não, entupiram de commodity: BRAP4, CMIN3, CSNA3, GGBR4, GOAU4, MRFG3, PETR4 e VALE3.

Os anos de 2021/22 foram uma das piores coisas que aconteceram pra quem gosta de dividendos. 

Commodity é risco DEMAIS e o investidor de dividendos tem que tomar cuidado dobrado com esse tipo de empresa. 

No topo pagam muito, mas depois a perda vem no preço da ação (quando o ciclo vira) e eu prometo pra vocês que commodity nenhuma paga dividendo no low do ciclo.","Sat Sep 30 01:55:24 +0000 2023","7","64190"
"Escolhi, na minha opniao, as 20 melhores ações das 45 que integram o ETF Divo11 (dividendos da b3):

Alup11
Bbas3
Agro3
Cmig3
Cmin3
Egie3
Goau4
Rani3
Itsa4
Kple3
Mrfg3
Petr4
Pssa3
Rapt4
Taee11
Vivt3
Trpl3
Unip6
Vale3
Vbbr3

Para quem quer ter uma carteira focada em dividendos ultra diversificada, essas 20 ações que passaram pela metodologia do idiv e meu filtro podem ser interessantes.

* NÃO É RECOMENDAÇÃO

Abaixo o link da metodologia usada pela idvi:

https://t.co/FmiFomhVYz

E anexado esta a composição completa com as 45 acoes.","Wed Jul 19 10:45:45 +0000 2023","41","209552"
